errorType,aiProvider,filename,errorMessage,lineNumber,testResults.passed,testResults.message,testResults.tests.0.passed,testResults.tests.0.message,testResults.tests.0.function,backupCreated,patchApplied,errorDetails,recoveryTimeMs,timestamp,patchStatus
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2925.5954409678557,2025-07-07 18:34:13,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3035.9200133946024,2025-07-07 18:37:00,success
Undefined properties,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3498.340451252577,2025-07-07 18:37:00,success
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15050.51463779535,2025-07-07 18:37:29,success
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12387.675423676428,2025-07-07 18:37:44,failed
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3725.3481803073387,2025-07-07 18:37:44,success
URI error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",14585.680338781032,2025-07-07 18:39:07,failed
Reference error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2665.948307214037,2025-07-07 18:39:12,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13725.146714511402,2025-07-07 18:39:22,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",16299,2025-07-07 18:40:20,failed
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16348.644431989751,2025-07-07 18:41:22,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,14890,2025-07-07 18:41:53,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13382,2025-07-07 18:42:07,success
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,20746.534181462066,2025-07-07 18:43:09,success
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,3075.2985411661334,2025-07-07 18:44:00,success
Reference error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2809.6829788623336,2025-07-07 18:46:21,success
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2915.124281701923,2025-07-07 18:47:42,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,14296.739813882441,2025-07-07 18:47:43,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15463.15552373891,2025-07-07 18:47:57,failed
File system error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,,,,,,TRUE,FALSE,Failed to generate patch from AI,21462.395124160226,2025-07-07 18:49:03,failed
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3037,2025-07-07 18:49:46,success
Reference error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2849.682622,2025-07-07 18:50:55,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,14640.53279218308,2025-07-07 18:52:12,success
Array index/range,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13249.835715735788,2025-07-07 18:55:39,success
Array index/range,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13119.16227804234,2025-07-07 18:55:49,success
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,21930.42337642316,2025-07-07 18:57:53,success
URI error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",14539.756716371365,2025-07-07 18:58:48,failed
Reference error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10968.426046745133,2025-07-07 18:59:23,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",16299,2025-07-07 19:00:50,failed
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12849.671326516838,2025-07-07 19:00:55,success
Reference error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,8699.052985714643,2025-07-07 19:00:58,success
URI error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",19009,2025-07-07 19:02:49,failed
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13382,2025-07-07 19:03:40,success
URI error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13468,2025-07-07 19:05:11,failed
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,19730.628797736303,2025-07-07 19:05:17,success
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,19309.97579222508,2025-07-07 19:05:46,failed
URI error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15493.23808,2025-07-07 19:06:41,failed
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,14333.651807859836,2025-07-07 19:07:01,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15265.96099602694,2025-07-07 19:10:29,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13421.131607597074,2025-07-07 19:10:31,failed
Reference error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10513.923757866682,2025-07-07 19:10:47,success
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3439.9219281159276,2025-07-07 19:12:53,success
File system error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,,,,,,TRUE,FALSE,Failed to generate patch from AI,22466.105661754747,2025-07-07 19:15:16,failed
Reference error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10757.535932804885,2025-07-07 19:17:18,success
Reference error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2593.5528118096013,2025-07-07 19:17:31,success
Type error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9773.944562,2025-07-07 19:18:27,success
Array index/range,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2878.5998305117705,2025-07-07 19:20:00,success
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16632.384161115577,2025-07-07 19:20:19,failed
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16235.223063817171,2025-07-07 19:20:42,failed
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12069.81394,2025-07-07 19:21:48,failed
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2756.2409624348024,2025-07-07 19:22:37,success
File system error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,FALSE,Tests failed,FALSE,"Error in FAQ function: Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.mds'",generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",19960.769861522054,2025-07-07 19:24:27,failed
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,17595.201886103307,2025-07-07 19:26:25,success
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2823.688003346716,2025-07-07 19:27:25,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13275.927133213792,2025-07-07 19:30:09,success
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12856.705081494834,2025-07-07 19:31:33,failed
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,16093.6112,2025-07-07 19:33:04,success
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12770.646782462078,2025-07-07 19:35:47,success
Reference error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,8676.929307403958,2025-07-07 19:37:03,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,2977.7907037539576,2025-07-07 19:37:14,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13382,2025-07-07 19:37:34,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",16299,2025-07-07 19:38:11,failed
Reference error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10012.01354,2025-07-07 19:41:20,success
Type error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,11905.068020281955,2025-07-07 19:43:14,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3134.4829010011854,2025-07-07 19:43:28,success
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16362.944210791005,2025-07-07 19:43:43,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13532.908660902005,2025-07-07 19:45:48,success
Array index/range,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3031.124769393628,2025-07-07 19:48:18,success
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3597.3182176803925,2025-07-07 19:48:22,success
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,17264.526463670994,2025-07-07 19:50:47,success
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13194,2025-07-07 19:51:23,success
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,17262.942211543952,2025-07-07 19:51:29,success
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2866.954264369641,2025-07-07 19:53:41,success
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2770.2033848107044,2025-07-07 19:55:09,success
URI error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",19009,2025-07-07 19:55:35,failed
URI error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15761,2025-07-07 19:56:07,failed
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15752.165019470362,2025-07-07 19:58:08,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15991.917339924654,2025-07-07 19:59:49,failed
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,21946.701171421213,2025-07-07 20:00:16,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,2935,2025-07-07 20:00:52,success
Type error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9929.065607149461,2025-07-07 20:00:53,failed
Type error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12729.309386759702,2025-07-07 20:02:30,failed
Invalid function/type,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12655.010208532025,2025-07-07 20:03:11,success
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16486.397104609274,2025-07-07 20:03:15,failed
URI error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15886.180387372846,2025-07-07 20:04:10,failed
URI error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",18324.16633939272,2025-07-07 20:04:52,failed
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,11981.507313839467,2025-07-07 20:05:02,failed
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15911.946460414332,2025-07-07 20:05:03,failed
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12179.831285916356,2025-07-07 20:05:55,failed
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,20484.936137832665,2025-07-07 20:06:56,failed
URI error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13468,2025-07-07 20:07:17,success
Undefined properties,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3717.6408404619046,2025-07-07 20:08:10,success
